run_id,ts,sim_version,trace,model_profile,device,segment,first_request,requests,accesses,gpu_blocks,cpu_gib,ssd_gib,lookup,prefetch,drop_cost_rule,workload,decode,window_accesses,features_run,train_run,policy,total_ms,prefill_ms,decode_ms,gpu_hits,cpu_hits,ssd_hits,recompute,cpu_writes,ssd_writes,ssd_write_mibps,write_feasible,device_write_mibps,best_baseline,vs_best_baseline_pct,oracle_headroom_pct,headroom_captured_pct
20260905-144121-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:21.066913+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,1,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tier_fs,2239197.63,1914996.27,324201.37,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,16.089,0.0
20260905-144121-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:21.066931+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,1,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tiara_sym_l2,1944328.9,1620127.53,324201.37,146406,106187,25935,89092,134784,69824,,,2512.0,tier_fs,13.168,16.089,81.85
20260905-144121-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:21.066947+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,1,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,oracle,1878937.61,1554736.24,324201.37,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,16.089,16.089,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.826937+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,full_gpu,6127520.06,6127520.06,0.0,376832,0,0,391828,0,0,,,2512.0,tier_fs,-271.458,0.0,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.827014+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,cpu_lru,1773974.35,1773974.35,0.0,376832,286720,0,105108,374711,0,,,2512.0,tier_fs,-7.54,0.0,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.827040+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,cpu_arc,1773974.35,1773974.35,0.0,362099,301453,0,105108,389444,0,,,2512.0,tier_fs,-7.54,0.0,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.827060+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,tier_fs,1649587.33,1649587.33,0.0,376832,286720,8192,96916,374711,59905,,,2512.0,tier_fs,0.0,0.0,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.827077+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,tiara_sym_l2,4476441.54,4476441.54,0.0,108506,249183,314055,96916,279660,365768,,,2512.0,tier_fs,-171.367,0.0,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.827094+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,diag_true_ordering,1649587.33,1649587.33,0.0,517433,154311,0,96916,204931,51713,,,2512.0,tier_fs,0.0,0.0,
20260905-144136-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:36.827110+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,186,92,768660,17117,24.0,512.0,prefix,1,tail,longctx-session,0,102702,20260905-143141-m5p-feat-lc128ks-qwen-awq,20260905-143319-m5p-train-lc128ks-qwen-awq,oracle,1649587.33,1649587.33,0.0,517433,154311,0,96916,154311,0,,,2512.0,tier_fs,0.0,0.0,
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.885653+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,full_gpu,23024619.03,15023937.65,8000681.38,1373442,0,0,2442344,0,0,0.0,1,2512.0,cpu_lru,-0.353,11.5,-3.07
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.886161+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,cpu_lru,22943603.7,14942922.32,8000681.38,1373442,17369,0,2424975,2425227,0,0.0,1,2512.0,cpu_lru,0.0,11.5,0.0
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.886581+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,cpu_arc,22947151.92,14946470.54,8000681.38,1376018,14105,0,2425663,2422651,0,0.0,1,2512.0,cpu_lru,-0.015,11.5,-0.13
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.886976+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,tier_fs,24838750.97,16838069.59,8000681.38,1373442,17369,647109,1777866,2425227,2379772,2006.1,1,2512.0,cpu_lru,-8.26,11.5,-71.83
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.887370+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,tiara_sym_l2,22768823.97,14768142.59,8000681.38,1399650,19909,493,2395734,48378,632,0.5,1,2512.0,cpu_lru,0.762,11.5,6.62
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.887763+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,tiara_sym_l2_cascade,24731065.96,16730384.58,8000681.38,1399650,3258,634197,1778681,2399019,2367675,1995.9,1,2512.0,cpu_lru,-7.791,11.5,-67.75
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.888159+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,tiara_cost_l2,22766134.92,14765453.54,8000681.38,1399650,20422,493,2395221,48579,632,0.5,1,2512.0,cpu_lru,0.774,11.5,6.73
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.888546+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,tiara_cost_l2_cascade,24731065.96,16730384.58,8000681.38,1399650,3258,634197,1778681,2399019,2367675,1995.9,1,2512.0,cpu_lru,-7.791,11.5,-67.75
20260905-144346-m5p-policy-toolagent-qwen-awq,2026-09-05T14:43:46.888933+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,16281,7327,3815786,17117,24.0,512.0,prefix,1,tail,mooncake,1,17117,20260905-142724-m5p-feat-toolagent-qwen-awq,20260905-143558-m5p-train-toolagent-qwen-awq,diag_true_ordering,20656408.96,12655727.58,8000681.38,1630040,140886,0,2044860,284997,715,0.6,1,2512.0,cpu_lru,9.969,11.5,86.69
