run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,bin_lo,bin_hi,n,mean_p_hat,empirical_rate,gap
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.4667,0.5333,2171,0.4987,0.5191,0.0205
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.5333,0.6,970,0.5479,1.0,0.4521
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.6,0.6667,1547,0.6663,1.0,0.3337
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.6667,0.7333,473,0.6987,1.0,0.3013
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.7333,0.8,16700,0.7985,0.6981,-0.1005
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.8,0.8667,307687,0.8602,0.8108,-0.0493
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.8667,0.9333,39848,0.8934,0.8805,-0.0128
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.9333,1.0,57512,0.9504,0.8475,-0.1029
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.0,0.0667,8998,0.0,0.0528,0.0527
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.3333,0.4,501,0.3427,1.0,0.6573
