ts,trace,gpu_budget_tokens,gpu_blocks,unique_blocks,accesses,requests,pressure_x,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,evict_swap_cpu,evict_lost,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,model_profile,lookup,prefetch,cpu_budget_gib,device,cost_model
2026-08-31T15:48:28.302331+08:00,conversation,12032,752,182790,288500,12031,243.072,oracle,764689.02,48168,57542,0,182790,182038,57542,0,0,0,75.982,cpu_arc,16.237,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:30.987663+08:00,conversation,6016,376,182790,288500,12031,486.144,full_gpu,1137993.16,12147,0,0,276353,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:30.987780+08:00,conversation,6016,376,182790,288500,12031,486.144,cpu_lru,917408.62,12147,56047,0,220306,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:30.987806+08:00,conversation,6016,376,182790,288500,12031,486.144,cpu_arc,917131.77,13112,55097,0,220291,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:30.987827+08:00,conversation,6016,376,182790,288500,12031,486.144,tier_fs,921066.81,12147,56047,37516,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:30.987845+08:00,conversation,6016,376,182790,288500,12031,486.144,oracle,767700.63,34425,71285,0,182790,182414,71285,0,0,0,71.902,cpu_arc,16.293,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:33.529402+08:00,conversation,3008,188,182790,288500,12031,972.287,full_gpu,1138599.33,11997,0,0,276503,,,,,,,cpu_lru,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:33.529533+08:00,conversation,3008,188,182790,288500,12031,972.287,cpu_lru,919344.54,11997,55716,0,220787,,,,,,,cpu_lru,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:33.529560+08:00,conversation,3008,188,182790,288500,12031,972.287,cpu_arc,919420.44,12930,54705,0,220865,,,,,,,cpu_lru,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:33.529579+08:00,conversation,3008,188,182790,288500,12031,972.287,tier_fs,922867.19,11997,55716,37997,182790,,,,,,,cpu_lru,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:33.529599+08:00,conversation,3008,188,182790,288500,12031,972.287,oracle,769430.5,25502,80208,0,182790,182602,80208,0,0,0,69.481,cpu_lru,16.307,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:36.092058+08:00,conversation,1504,94,182790,288500,12031,1944.574,full_gpu,1140182.39,11603,0,0,276897,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:36.092183+08:00,conversation,1504,94,182790,288500,12031,1944.574,cpu_lru,920558.01,11603,55808,0,221089,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:36.092206+08:00,conversation,1504,94,182790,288500,12031,1944.574,cpu_arc,920552.99,12031,55380,0,221089,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:36.092225+08:00,conversation,1504,94,182790,288500,12031,1944.574,tier_fs,924200.41,11603,55808,38299,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:36.092243+08:00,conversation,1504,94,182790,288500,12031,1944.574,oracle,770387.79,19888,85822,0,182790,182696,85822,0,0,0,68.039,cpu_arc,16.312,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:38.347530+08:00,conversation,752,47,182790,288500,12031,3889.149,full_gpu,1144631.16,10493,0,0,278007,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:38.347633+08:00,conversation,752,47,182790,288500,12031,3889.149,cpu_lru,921077.75,10493,56795,0,221212,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
